model,game,opponent_strategy,framing,run_id,round,llm_action,opponent_action,llm_payoff,opponent_payoff,raw_response,temperature,opponent_model,perspective
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,1,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,1,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,2,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,2,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,3,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,3,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,4,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,4,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,5,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,5,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,6,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,6,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,7,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,7,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,8,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,8,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,9,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,9,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,10,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,10,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,11,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,11,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,12,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,12,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,13,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,13,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,14,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,14,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,15,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,15,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,16,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,16,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,17,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,17,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,18,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,18,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,19,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,19,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,20,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,20,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,21,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,21,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,22,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
deepseek-chat,prisoners_dilemma,LLM,neutral,1,22,C,C,9,9,[DRY RUN],0.7,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,23,C,C,9,9,[DRY RUN],0.7,deepseek-chat,player1
