model,game,framing,run_id,round,llm_number,random_numbers,mean,target,winner_number,llm_won,payoff,raw_response,temperature,num_players,num_rounds
claude-haiku,beauty_contest,neutral,1,1,33,81|14|3|94,45.0,30.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,1,2,33,35|31|28|17,28.8,19.2,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,1,3,33,94|13|86|94,64.0,42.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,1,4,33,69|11|75|54,48.4,32.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,1,5,33,4|3|11|27,15.6,10.4,11,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,2,1,33,29|64|77|3,41.2,27.4667,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,2,2,33,71|25|91|83,60.6,40.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,2,3,33,89|69|53|28,54.4,36.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,2,4,33,57|75|35|0,40.0,26.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,2,5,33,97|20|89|54,58.6,39.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,3,1,33,43|35|19|27,31.4,20.9333,19,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,3,2,33,97|43|13|11,39.4,26.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,3,3,33,48|12|45|44,36.4,24.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,3,4,33,77|33|5|93,48.2,32.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,3,5,33,58|68|15|48,44.4,29.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,4,1,33,10|70|37|80,46.0,30.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,4,2,33,79|46|73|24,51.0,34.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,4,3,33,90|8|5|84,44.0,29.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,4,4,33,29|98|37|10,41.4,27.6,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,4,5,33,29|12|48|35,31.4,20.9333,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,5,1,33,58|81|46|20,47.6,31.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,5,2,33,47|45|26|85,47.2,31.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,5,3,33,34|89|87|82,65.0,43.3333,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,5,4,33,9|77|81|21,44.2,29.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,5,5,33,68|93|31|20,49.0,32.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,6,1,33,59|48|34|81,51.0,34.0,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,6,2,33,88|71|28|87,61.4,40.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,6,3,33,41|98|99|7,55.6,37.0667,41,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,6,4,33,29|4|40|51,31.4,20.9333,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,6,5,33,34|8|27|72,34.8,23.2,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,7,1,33,91|40|27|83,54.8,36.5333,40,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,7,2,33,63|50|82|58,57.2,38.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,7,3,33,18|33|17|31,26.4,17.6,18,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,7,4,33,95|71|68|33,60.0,40.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,7,5,33,95|74|54|74,66.0,44.0,54,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,8,1,33,51|46|28|17,35.0,23.3333,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,8,2,33,65|63|11|96,53.6,35.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,8,3,33,6|14|19|80,30.4,20.2667,19,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,8,4,33,20|87|54|76,54.0,36.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,8,5,33,8|49|48|76,42.8,28.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,9,1,33,59|67|32|70,52.2,34.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,9,2,33,1|87|92|14,45.4,30.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,9,3,33,87|68|96|34,63.6,42.4,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,9,4,33,98|82|43|14,54.0,36.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,9,5,33,37|55|20|58,40.6,27.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,10,1,33,0|92|92|33,50.0,33.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,10,2,33,64|97|22|64,56.0,37.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,10,3,33,13|80|38|81,49.0,32.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,10,4,33,64|77|25|19,43.6,29.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,10,5,33,47|97|20|69,53.2,35.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,11,1,33,99|67|0|76,55.0,36.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,11,2,33,41|62|2|14,30.4,20.2667,14,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,11,3,33,46|39|30|7,31.0,20.6667,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,11,4,33,30|72|10|10,31.0,20.6667,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,11,5,33,93|62|8|97,58.6,39.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,12,1,33,68|98|16|16,46.2,30.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,12,2,33,84|60|70|21,53.6,35.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,12,3,33,33|67|77|54,52.8,35.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,12,4,33,27|69|96|93,63.6,42.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,12,5,33,88|25|91|39,55.2,36.8,39,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,13,1,33,51|85|83|47,59.8,39.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,13,2,33,56|66|57|15,45.4,30.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,13,3,33,31|28|8|43,28.6,19.0667,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,neutral,13,4,33,2|75|70|29,41.8,27.8667,29,0,0,[DRY RUN],0.7,5,5
