model,game,framing,run_id,amount_shared,amount_kept,payoff_dictator,payoff_receiver,raw_response,temperature
gpt-4o-mini,dictator_game,neutral,1,50,50,50,50,50,0
gpt-4o-mini,dictator_game,neutral,1,50,50,50,50,50,1
gpt-4o-mini,dictator_game,competitive,1,100,0,0,100,100,0
gpt-4o-mini,dictator_game,competitive,1,0,100,100,0,0,1
claude-haiku,dictator_game,neutral,1,50,50,50,50,50,0
claude-haiku,dictator_game,neutral,1,50,50,50,50,50,1
claude-haiku,dictator_game,competitive,1,0,100,100,0,0,0
claude-haiku,dictator_game,competitive,1,0,100,100,0,0,1
gemini-flash,dictator_game,neutral,1,50,50,50,50,50,0
gemini-flash,dictator_game,neutral,1,50,50,50,50,50,1
gemini-flash,dictator_game,competitive,1,0,100,100,0,0,0
gemini-flash,dictator_game,competitive,1,0,100,100,0,0,1
deepseek-chat,dictator_game,neutral,1,50,50,50,50,50,0
deepseek-chat,dictator_game,neutral,1,50,50,50,50,50,1
deepseek-chat,dictator_game,competitive,1,0,100,100,0,0,0
deepseek-chat,dictator_game,competitive,1,0,100,100,0,0,1
llama-3.1-8b,dictator_game,neutral,1,50,50,50,50,50,0
llama-3.1-8b,dictator_game,neutral,1,50,50,50,50,50,1
llama-3.1-8b,dictator_game,competitive,1,0,100,100,0,0,0
llama-3.1-8b,dictator_game,competitive,1,0,100,100,0,0,1
grok,dictator_game,neutral,1,50,50,50,50,50,0
grok,dictator_game,neutral,1,50,50,50,50,50,1
grok,dictator_game,competitive,1,0,100,100,0,0,0
grok,dictator_game,competitive,1,0,100,100,0,0,1
