model,game,opponent_strategy,framing,run_id,round,llm_action,opponent_action,llm_payoff,opponent_payoff,raw_response,temperature
gpt-4o-mini,prisoners_dilemma,AC,neutral,1,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,2,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,3,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,4,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,5,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,6,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,7,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,8,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,9,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,neutral,10,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,1,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,2,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,3,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,4,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,5,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,6,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,7,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,8,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,9,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AC,competitive,10,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,1,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,2,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,3,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,4,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,5,1,D,D,6,6,B,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,6,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,7,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,8,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,9,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,neutral,10,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,1,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,2,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,3,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,4,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,5,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,6,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,7,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,8,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,9,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,AD,competitive,10,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,1,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,2,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,3,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,4,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,5,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,6,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,7,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,8,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,9,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,TfT,neutral,10,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,1,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,2,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,3,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,4,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,5,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,6,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,7,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,8,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,9,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,TfT,competitive,10,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,1,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,2,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,3,1,D,D,6,6,B,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,4,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,5,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,6,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,7,1,C,C,9,9,A,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,8,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,9,1,C,D,0,10,A,0
gpt-4o-mini,prisoners_dilemma,Random,neutral,10,1,D,C,10,0,B,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,1,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,2,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,3,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,4,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,5,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,6,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,7,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,8,1,D,C,10,0,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,9,1,D,D,6,6,D,0
gpt-4o-mini,prisoners_dilemma,Random,competitive,10,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AC,neutral,1,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,2,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,3,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,4,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,5,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,6,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,7,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,8,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,9,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,neutral,10,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,AC,competitive,1,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,2,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,3,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,4,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,5,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,6,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,7,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,8,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,9,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AC,competitive,10,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,AD,neutral,1,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,2,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,3,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,4,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,5,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,6,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,7,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,8,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,9,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,neutral,10,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,AD,competitive,1,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,2,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,3,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,4,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,5,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,6,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,7,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,8,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,9,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,AD,competitive,10,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,TfT,neutral,1,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,2,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,3,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,4,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,5,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,6,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,7,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,8,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,9,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,neutral,10,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,TfT,competitive,1,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,2,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,3,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,4,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,5,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,6,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,7,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,8,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,9,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,TfT,competitive,10,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,Random,neutral,1,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,neutral,2,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,neutral,3,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,Random,neutral,4,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,Random,neutral,5,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,Random,neutral,6,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,neutral,7,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,neutral,8,1,C,D,0,10,A,0
claude-haiku,prisoners_dilemma,Random,neutral,9,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,neutral,10,1,C,C,9,9,A,0
claude-haiku,prisoners_dilemma,Random,competitive,1,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,Random,competitive,2,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,Random,competitive,3,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,Random,competitive,4,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,Random,competitive,5,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,Random,competitive,6,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,Random,competitive,7,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,Random,competitive,8,1,D,C,10,0,D,0
claude-haiku,prisoners_dilemma,Random,competitive,9,1,D,D,6,6,D,0
claude-haiku,prisoners_dilemma,Random,competitive,10,1,D,C,10,0,D,0
